#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
13,"Troublemaker","Romero",5,138,"","","Troublemaker",2020-11-17,03:54,47,89,0,82,76,0,10,-4,C Major,4,2021-01-19,5gx2snbrQaGsmymefzbDrc,"2520656 Records DK2",8B,https://p.scdn.co/mp3-preview/6819cc0bdf008145ff72eeb5faf6986c43855306?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf82c1d82222f04563fe58ac
14,"The American Dream","Blu & Exile,Blu,Exile,Miguel,The Last Artful, Dodgr",30,94,"alternative hip hop, jazz rap, instrumental hip hop, r&b, urban contemporary, portland hip hop","Hip Hop, R&B","Miles",2020-07-17,04:37,74,62,2,0,46,10,10,-6,A#/B♭ Minor,4,2021-01-20,4LcmIm9sFuC3m2VjhGn84N,"Fat Beats Records",3A,https://p.scdn.co/mp3-preview/48d0780c5906386579cdc7fd6370334e7e821d4f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bcb3308420cf022c279948ff
15,"SLIME","Shygirl",50,98,"alternative r&b, art pop, electra, escape room, grimewave, hyperpop","R&B, Pop","SLIME",2020-10-21,02:39,79,72,3,4,38,10,10,-9,C♯/D♭ Minor,4,2021-01-21,5alFLxnNmBmTdNM6Oq0nqD,"Because Music Ltd.",12A,https://p.scdn.co/mp3-preview/e66b0b63543fb608d4470af4887882ad9325efa0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485112870547b30fedb9184cea84
16,"Beautiful Mind (feat. Oddisee)","Ciscero,Oddisee",46,124,"indie hip hop, alternative hip hop, instrumental hip hop, sudanese pop","Hip Hop, Pop","Beautiful Mind (feat. Oddisee)",2021-01-05,02:34,93,28,10,0,67,30,10,-16,C Minor,4,2021-01-22,2Gp8o1SsczHq9rXKgiPWmk,"We Are Not The Same",5A,https://p.scdn.co/mp3-preview/e76afb2959200b2b1622b243e6885dfc995c9d84?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485191de901044db10cef56cfd6b
17,"The Disruptor Suite","I Self Devine",3,74,"abstract hip hop, minnesota hip hop","Hip Hop","The Disruptor Suite",2021-01-15,07:42,42,71,2,0,47,30,0,-6,B Major,4,2021-01-25,3PUfxmjlavzDOMwehFq8Af,"Improvised Weaponry",1B,https://p.scdn.co/mp3-preview/9effcf2a3865829fbc4ebe4166af62653eda440f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e7fbfea1d2f0614211e08ce9
18,"A Healing","Mumu Fresh",12,170,"high vibe","New age","A Healing",2021-01-08,03:36,52,67,29,0,39,0,10,-4,C Major,4,2021-01-26,0bRoS5aPrBxRGpYbvWAAQ1,"Beatchain",8B,https://p.scdn.co/mp3-preview/c2679bcfd86f1c3bbae53c0e19844bf8b0526482?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161633118a3e91260ffaae38e
19,"MANGO (feat. Adi Oasis)","KAMAUU,Adi Oasis",60,83,"downtempo bass, indie r&b, indie soul","Electronic, R&B","MANGO (feat. Adi Oasis)",2020-09-04,04:05,67,61,34,0,88,0,10,-8,D Minor,4,2021-01-27,384TJj6XyHUyNlCbdgm6Sz,"Atlantic Records",7A,https://p.scdn.co/mp3-preview/8fae4110f9734f94b63dc7fdba9e9b6f6fb60817?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d4a56e418e38aaf495c2c8a6
20,"Chanel No. 5","Toni Banx",0,114,"","","I Like It Here",2020-12-30,03:14,84,32,15,0,65,0,10,-10,C Major,4,2021-01-29,7bgCepmq2CVdnIHZsAxRw7,"Fifth House Media",8B,https://p.scdn.co/mp3-preview/d012f14a3d674e0c31632727b0098695b405f782?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149bd3e3123126ee846f5c875
21,"Deliver Me From Wondering Why","Nation of Language",30,142,"brooklyn indie","Rock","Deliver Me From Wondering Why",2021-01-13,04:04,80,70,5,77,97,0,10,-6,C♯/D♭ Minor,4,2021-02-01,38QWaRc3RNTBG4xxIJNM0r,"Nation Of Language",12A,https://p.scdn.co/mp3-preview/c392718aa250822502cd899b4c26532788604ac8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f99e8a5eef8f9fb4a000df11
22,"Murkit Gem","El Michels Affair,Piya Malik",0,118,"afrobeat, bboy, funk, instrumental soul, ","World/Traditional, R&B","Murkit Gem",2021-01-12,03:12,54,63,60,92,57,0,10,-10,D#/E♭ Minor,4,2021-02-02,3YMjxuPAW6xa9JDNRbPguh,"Big Crown Records",2A,,https://i.scdn.co/image/ab67616d00004851ad385bc0d3b0b8f69f2cfee5
23,"Iris2Iris","Barbarossa",0,120,"","","Iris2Iris",2020-12-07,03:45,57,68,1,91,34,0,20,-10,B Minor,4,2021-02-03,2cb4HyRVD80zlgJkvcYHrZ,"Memphis Industries",10A,,https://i.scdn.co/image/ab67616d00004851db58a3293970973777ff5f35
24,"Ritchie Sacramento","Mogwai",24,137,"british post-rock, compositional ambient, cosmic post-rock, dream pop, electronica, indie rock, instrumental post-rock, post-rock, scottish rock","Rock, Classical, Pop, Electronic","Ritchie Sacramento",2021-01-12,04:12,40,73,0,82,11,0,10,-7,C Major,4,2021-02-04,4E6dACKmdJrwry7hf34mgp,"Rock Action Records",8B,https://p.scdn.co/mp3-preview/4f30a846da115a57404bdc8c15cac88c53d236b6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515ee0d61014a6187e1768eb31
25,"O Devilish Sailor","Gibraltar",4,159,"","","O Devilish Sailor",2020-11-10,03:11,51,94,2,1,63,10,10,-6,F Major,4,2021-02-05,1Ym3c5nMe8qTtgQ00G9oly,"Factory Belt Records",7B,https://p.scdn.co/mp3-preview/dfb71a390833ac72e0d2357826afc176026330d9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485102d62cd1eb3744a4c0cc874f
26,"Soft Spot","Claud",0,82,"bedroom pop, indie pop","Pop","Soft Spot",2020-12-02,03:08,57,55,39,0,49,0,20,-8,A#/B♭ Major,4,2021-02-08,6kyxHSJZBPSihkK3YwbVXg,"Saddest Factory",6B,,https://i.scdn.co/image/ab67616d000048518291632433c6629c0ff12aab
27,"Wallflower","Sevdaliza",36,161,"alternative r&b, art pop, escape room, persian electronic","R&B, Pop, Electronic","Shabrang",2020-08-28,03:01,65,57,3,0,30,0,10,-8,F Minor,4,2021-02-09,2SXOk7lEgdyBasLD61YJK3,"Twisted Elegance",4A,https://p.scdn.co/mp3-preview/d68a28757c2ff684a0a842f16a6804544d5c4598?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512142c120bedc0c32cceb497e
28,"Rabbit Hole","Cherry Glazerr",0,117,"bubblegrunge, indie punk, indie surf, la indie","Rock, Pop","Rabbit Hole",2020-12-09,02:59,65,81,4,3,37,0,30,-5,C♯/D♭ Minor,4,2021-02-10,5D1aJfnGGdU0WjfV2pQ9fm,"Secretly Canadian",12A,,https://i.scdn.co/image/ab67616d00004851d0e700d056ea187b45bddf24
29,"Burn The Heather","The Lounge Society",30,130,"crank wave, uk post-punk revival","Rock","Burn The Heather",2020-11-23,03:30,54,81,0,7,61,0,10,-5,B Minor,4,2021-02-11,7aaHI1szdLPNPl7HU6zprz,"Speedy Wunderground / [PIAS]",10A,https://p.scdn.co/mp3-preview/346f7e35e1b44a28981b81f463e5c998d288ace6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485162aa67691594aa28770b0652
30,"First Time","Jason McCue",0,86,"","","First Time",2021-01-29,03:15,61,45,85,1,46,0,10,-10,E Major,4,2021-02-12,3o5BLNIDn0tbai6bYSKmhp,"Fluff and Gravy",12B,https://p.scdn.co/mp3-preview/69eb82f42cb0186e9496f843235cc379196bebd6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518571c73eb441546d1e7e9733
31,"Secret Thread","SPELLLING",0,100,"art pop, escape room, oakland indie","Pop, Rock","Mazy Fly",2019-02-22,05:06,49,44,67,0,4,0,0,-10,E Major,4,2021-02-15,6yMkhA2Qcvzp4gmeSClZZc,"Sacred Bones Records",12B,,https://i.scdn.co/image/ab67616d000048517c59258a62427a25b8a5bde1
32,"Black Sands","Jasik",0,82,"","","Black Sands",2021-01-18,03:19,47,67,58,0,63,30,20,-11,G#/A♭ Major,4,2021-02-16,6xi2G2vKDoMAytBhvQWyue,"Preference Records",4B,,https://i.scdn.co/image/ab67616d00004851cfc39579c86c5e779d2e1898
33,"Ur Boyfriend's Wack","Grove",0,97,"","","Ur Boyfriend's Wack",2021-01-19,03:04,38,92,0,16,41,0,20,-11,D Major,5,2021-02-17,7sNMSluaxTArI500BQg0Xd,"Spinny Nights",10B,,https://i.scdn.co/image/ab67616d000048514ea670e4056fba94fbea875c
34,"Familiars","Dark Time Sunshine",0,115,"abstract hip hop, seattle hip hop","Hip Hop","LORE",2021-02-04,05:00,70,76,0,4,4,0,10,-8,G Minor,4,2021-02-19,29I5C4oRvu5gXtk8a1nvyZ,"Fake Four Inc.",6A,,https://i.scdn.co/image/ab67616d00004851f8e459f446bda1ba5e7d1dda
35,"Spiritual Ideation","Gary Bartz,Ali Shaheed Muhammad,Adrian Younge",0,159,"jazz funk, jazz saxophone, soul jazz, african-american classical, indie jazz","Classical, Jazz","Spiritual Ideation",2020-12-15,03:57,40,72,2,86,51,0,0,-7,D Major,3,2021-02-22,6rsGTJ70GhGINYsscc8nJy,"Jazz Is Dead",10B,,https://i.scdn.co/image/ab67616d000048512ecd02cb4c2254caaa6a7efe
36,"224","Navy Blue",24,117,"alternative hip hop, chill abstract hip hop, drumless hip hop, jazz rap","Hip Hop","Song of Sage: Post Panic!",2020-12-22,03:09,37,76,68,0,46,10,10,-9,A#/B♭ Major,4,2021-02-23,0XCtW5TsAktTRt9cUQ5USc,"Freedom Sounds",6B,https://p.scdn.co/mp3-preview/e1dc6a5694f4dd73c6c7174874c4ffd194f1a468?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515a973167d72dfaaedf82a654
37,"Hindsight","Madison McFerrin",22,136,"a cappella, alternative r&b","Jazz, R&B","Hindsight",2020-12-03,03:43,55,40,74,1,28,0,10,-11,C♯/D♭ Major,4,2021-02-24,1tbMcwBiZ7Suv0EFAlvKUq,"Mexican Summer",3B,https://p.scdn.co/mp3-preview/665a4881ea7f9b68beababa98022ae885e3aea45?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851186c3e11378b0f96cd1d2ff5
38,"Build a Nest","Jeff Parker,Ruby Parker",0,77,"jazz guitar, pastoral, ","Jazz, Folk/Acoustic","Suite for Max Brown",2020-01-24,02:13,72,48,20,0,48,10,30,-9,F Major,4,2021-02-25,2v6FrO0e451VZIBKNqFi5I,"International Anthem",7B,,https://i.scdn.co/image/ab67616d0000485122fae9fe5a850d3b81461daa
39,"Feelin' Like","Bad Colours,Jarv Dee",0,112,"seattle hip hop","Hip Hop","Feelin' Like",2021-01-29,02:53,78,79,0,3,28,0,0,-8,A#/B♭ Minor,4,2021-02-26,48stO4AvWWTpd6uQ5hiLKX,"Bastard Jazz Recordings",3A,,https://i.scdn.co/image/ab67616d00004851fcddb8abd90ec69ab315ffc5
40,"Yak Sher","Farhot",0,160,"hamburg hip hop","Hip Hop","Yak Sher",2020-09-18,03:25,60,73,1,20,67,0,30,-8,B Minor,4,2021-03-01,1fzwKTifesIDlGeRJOsEQ6,"Kabul Fire Records",10A,,https://i.scdn.co/image/ab67616d0000485108648d1046c097ffd51f506a
41,"Superpowerz","King Khazm,Kane Smego,Jessica Care Moore",0,90,"","","Pangea: Hip Hop Heals",2021-02-12,04:12,76,47,8,0,45,30,0,-10,B Minor,4,2021-03-03,1kzKNHxhLYEq0bfiWwQx14,"MADK Productions",10A,https://p.scdn.co/mp3-preview/ce618b7946368f77e13dd7370caec04889ec3df1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515dc6dfc88fc7d0672bb02c52
42,"Continuation","Felicia Douglass",1,172,"","","Continuation",2021-01-12,03:06,67,38,89,0,38,0,10,-13,D Minor,4,2021-03-03,47XWPRBH95BAaRSMKVSeHD,"2397249 Records DK",7A,https://p.scdn.co/mp3-preview/358cad8bc8c17a5e3d56dd098978819dd574a2e6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f2139412e186181fb8b37552
43,"Rainy Morning","Khingz,UJJY",0,160,"seattle hip hop, ","Hip Hop","Rainy Morning",2021-02-01,02:25,54,38,21,0,31,40,10,-14,F#/G♭ Minor,4,2021-03-04,7zphfsbgpxngXhJKedxK9T,"freshcutflowers",11A,https://p.scdn.co/mp3-preview/87a5865c8b3dd4e720a59bc2f0d0ba8dba9272a5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851422772f960593ab99aded6fa
44,"Safe Another Day","Jessica Manning",0,184,"","","You Are Here",2021-01-25,03:50,33,34,82,5,26,0,20,-13,A Major,3,2021-03-05,62GMb7KQ2tzvv9ARllepI9,"Jessica Manning",11B,https://p.scdn.co/mp3-preview/bb7729a84e6bdb3338c30185cc3bde5ef78538c9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485133aefa96fa7d46d8f62c4743
45,"Sundial","Bicep",32,135,"ambient house, electronica","Electronic","Sundial",2021-01-12,04:35,49,93,0,90,21,0,10,-6,F Minor,4,2021-03-08,05FzWxV5hv2Idl8dNXj8w9,"Ninja Tune",4A,https://p.scdn.co/mp3-preview/a77b0e86ec2d7aa307232f3f6b5cdeab1513624d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513742b76be144622e8046d946
46,"bang","HARU NEMURI",0,110,"japanese alternative pop","Pop","bang",2021-01-15,03:16,74,87,8,0,46,10,10,-6,B Major,4,2021-03-09,54LG7HyDgxmeh1k30UHx67,"HARU NEMURI",1B,,https://i.scdn.co/image/ab67616d000048513bb9aac084aa56f792b9dcdc
47,"Solstice - Edit","The Antlers",6,97,"brooklyn indie, chamber pop, indie rock, melancholia","Rock, Pop, Folk/Acoustic","Solstice (Edit)",2021-01-13,03:49,55,47,87,69,16,0,10,-7,A Major,4,2021-03-10,1vpWBm86jAxqHiAtjbGJ5N,"Transgressive",11B,https://p.scdn.co/mp3-preview/8b9d234d1a786d6543182e4b40d88855d9f6c66c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851605865bac0f34798cdf80858
48,"Not Fit For This","GHLOW",0,124,"","","Slash and Burn",2021-03-02,03:21,22,24,0,89,19,0,10,-7,D Major,4,2021-03-11,6c7okiCd2UwvUswoqgCfvd,"PNKSLM Recordings",10B,,https://i.scdn.co/image/ab67616d00004851eebdabd380cb5a5d311bf8b7
49,"Sailor Down","Corvair",1,140,"","","Corvair",2021-02-19,04:19,51,79,32,45,45,0,0,-7,C Major,4,2021-03-12,3Tt1TyZjclUKLxTBfRprUr,"Paper Walls / Wiaiwya",8B,https://p.scdn.co/mp3-preview/146c2db177f2aa124c02efbebaf96e79f62fba43?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485169170d594f07faf554f4f9d0
50,"Fellowship","serpentwithfeet",0,114,"alternative r&b, escape room, experimental r&b","R&B, Pop","Fellowship",2021-01-25,03:39,86,64,42,0,78,0,0,-9,G Minor,4,2021-03-15,5BFe78RJ9sUnv2Zwklb6SH,"Secretly Canadian",6A,,https://i.scdn.co/image/ab67616d00004851f47489ba6f7beba2c8953feb
51,"You Sold Me A Dream (feat. Ana Tijoux)","Jupiter & Okwess,Ana Tijoux",4,150,"afro-funk, chilean rock, latin alternative, latintronica, rap chileno, rap feminino chileno, rap latina, rap politico","World/Traditional, Rock, Latin, Electronic","You Sold Me A Dream (feat. Ana Tijoux)",2021-01-29,03:23,55,88,0,0,72,0,10,-6,F#/G♭ Minor,4,2021-03-17,6hZJgdLvwYVXgozGt0FNF9,"Zamora Label",11A,https://p.scdn.co/mp3-preview/8ec9ec2ad30437c6b6fbea13aa8e9c5550d2c35c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510d2e1ddd7f97133d42db2121
52,"Narrator","Squid,Martha Skye Murphy",0,134,"brighton indie, crank wave, egg punk, english indie rock, uk post-punk revival, spectra","Rock, Pop","Narrator",2021-01-27,08:28,43,73,0,5,37,0,60,-7,D Minor,4,2021-03-18,7xz1YvA6uayMtAXFrFaosP,"Warp Records",7A,,https://i.scdn.co/image/ab67616d000048511e3ca9d00c12853a9f978e15
53,"Afterlife","Echo of the Low Light",1,90,"","","Afterlife",2021-01-20,04:19,47,72,28,75,26,0,10,-8,G#/A♭ Major,4,2021-03-19,6na4a3lt3lqc9l3tfke74y,"Independent",4B,https://p.scdn.co/mp3-preview/d2be5e29ff033c617e483e7cd132fd214c8e3d06?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511a5db68138e21f3d09c62074
54,"Maçka Yolları","Altin Gün",41,120,"dutch indie, turkish psych","Folk/Acoustic, Pop","Yol",2021-02-26,03:40,77,58,8,67,94,0,0,-9,C Major,4,2021-03-22,2dXcAfDx2GMtislQfdlfye,"Glitterbeat Records",8B,https://p.scdn.co/mp3-preview/d836da96e2d64f9eab733d1410e2bd6fd254fdcd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485168b74ac5084901305e5e5c9d
55,"Move, Move","Anushka Chkheidze",16,140,"georgian alternative","New age","Move 20-21",2021-02-05,05:00,62,74,82,94,4,0,0,-13,C♯/D♭ Major,4,2021-03-23,2lx5kI6TqhFADDnvX5zH5K,"CES Records",3B,https://p.scdn.co/mp3-preview/0fdb1a41d4af64980f1460b4a78de16c4ebdcf08?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a52997849a705f45d5021c45
56,"Creator","Ora the Molecule",8,134,"","","Creator",2021-02-09,04:14,85,45,11,0,54,10,0,-10,F#/G♭ Major,4,2021-03-24,6VNHS55EGFdZKGhRASePeq,"Mute",2B,https://p.scdn.co/mp3-preview/9064072709606acdc89405bd996d0823ea2c9b15?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c803d0bcf30059e4e48b022b
57,"Pay Your Way In Pain","St. Vincent",32,125,"art pop, etherpop, indie rock, indietronica, metropopolis, neo-synthpop","Pop, Rock, Electronic","Pay Your Way In Pain",2021-03-04,03:03,68,83,40,0,50,30,50,-7,A Major,4,2021-03-25,0kiuMdZ9G8X9Odc8oifwX9,"Loma Vista Recordings",11B,,https://i.scdn.co/image/ab67616d00004851a1e1b4608e1e04b40113e6e1
58,"Monster","Branik",0,130,"","","Monster",2020-12-21,03:45,37,45,11,0,21,0,0,-5,E Minor,3,2021-03-26,1k6x2mcabF6ydbEjR5ie5I,"Branik",9A,https://p.scdn.co/mp3-preview/b081e4d91458b397c0923ac414770e5a40782a1c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cd72a62b4260cf9fa14291d2
59,"Rosie","Figmore,JUICEB☮X,10.4 Rog",0,106,"","","Rosie / Practice",2021-01-21,04:13,65,80,4,12,71,10,10,-10,A#/B♭ Minor,4,2021-03-30,7qArNkBYimMqrrRvVtzuPI,"Fresh Selects",3A,,https://i.scdn.co/image/ab67616d00004851021b3c504039c1501b4c9f73
60,"B4 The Computer Crash","Vegyn",0,124,"experimental hip hop","Hip Hop","B4 The Computer Crash",2021-03-10,04:18,45,81,37,0,8,10,30,-8,B Minor,4,2021-03-30,15aG4JSTSOOpJiTYxLvMjT,"PLZ Make It Ruins",10A,,https://i.scdn.co/image/ab67616d000048513c2cb9519c585dc524b9296c
61,""Listen to Your Heart." "No."","Cheekface",43,140,"bubblegrunge","Rock","Emphatically No.",2021-01-11,02:20,77,73,14,0,97,0,30,-5,A Major,4,2021-03-31,2YBVnFZlsRR4ssWXodkWPY,"New Professor Music",11B,https://p.scdn.co/mp3-preview/59e218d555e8b0d53b2e13dea05fb3dd2e565f38?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d39e9fe135388411096ae1b5
62,"Presentation (with Nick Hakim & Benamin)","Juan Wauters,Benamin,Nick Hakim",0,122,"indie rock, alternative r&b, hypnagogic pop, indie soul","R&B, Pop, Rock","Presentation (with Nick Hakim & Benamin)",2021-01-19,02:57,69,84,3,0,83,0,20,-8,B Minor,4,2021-04-01,3t5UnFFulrvHPmWqf18Thc,"Captured Tracks",10A,,https://i.scdn.co/image/ab67616d00004851bd0e64051e671e9183ab0074
63,"Hagler vs. Hearns","Boom Bap Project",3,176,"seattle hip hop","Hip Hop","Hagler vs. Hearns",2021-03-30,03:24,51,88,30,0,81,40,30,-3,A Minor,4,2021-04-02,78prjYGEc4vYxOyaAUL5Ai,"Boom Bap Project LLC",8A,https://p.scdn.co/mp3-preview/c368f73042e119d726a2bdd534cfada5b8057578?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485139edd2dc8e5beefad6ef1a05
64,"I Am","Beautiful Chorus,India.Arie",44,130,"high vibe, shamanic, neo soul, r&b, urban contemporary","New age, R&B, Hip Hop","I Am",2021-03-19,04:44,59,26,92,1,25,0,10,-13,G#/A♭ Major,4,2021-04-05,37euFIiR4TcxbOJLLhalv5,"Beautiful Chorus",4B,https://p.scdn.co/mp3-preview/b2f6f2038e84cd4f05a078bea30ac5287aa67a5d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c30594bf477a51205e2a3b8e
65,"Rainforest","Noname",2,92,"alternative r&b, chicago rap","R&B, Hip Hop","Rainforest",2021-02-26,02:42,53,55,26,1,70,30,30,-11,F#/G♭ Minor,4,2021-04-06,7thhWP37F1tHFcrnwLNaao,"Noname",11A,,https://i.scdn.co/image/ab67616d000048512f43e3981b555f73f36af6cf
